id_alumne,any_matriculacio_assig,id_enseny,id_assig,tipus_apunt,qual,nota_primera_conv,nota_segona_conv
3,2010,G1055,362442,Ordinari,Aprovat,5.6,0
3,2010,G1055,362443,Ordinari,No presentat,0,0
3,2010,G1055,362444,Ordinari,Suspens,3.5,5.9
3,2010,G1055,362449,Ordinari,Aprovat,6.1,0
3,2010,G1055,362450,Ordinari,Aprovat,5.5,0
3,2010,G1055,362451,Ordinari,Aprovat,5.7,0
3,2011,G1055,362441,Ordinari,No presentat,0,0
3,2011,G1055,362443,Ordinari,No presentat,0,0
3,2011,G1055,362446,Ordinari,Notable,7,0
3,2011,G1055,362447,Ordinari,No presentat,0,0
3,2011,G1055,362448,Ordinari,No presentat,0,0
3,2011,G1055,362452,Ordinari,Suspens,2.5,0
3,2011,G1055,362458,Ordinari,Aprovat,5.5,0
3,2012,G1055,362441,Ordinari,Aprovat,6.7,0
3,2012,G1055,362447,Ordinari,Aprovat,5.1,0
3,2012,G1055,362448,Ordinari,Aprovat,5,0
19,2009,G1055,362441,Ordinari,No presentat,0,0
19,2009,G1055,362443,Ordinari,No presentat,0,0
19,2009,G1055,362444,Ordinari,No presentat,0,0
19,2009,G1055,362449,Ordinari,No presentat,0,0
19,2009,G1055,362450,Ordinari,No presentat,0,0
28,2013,G1055,362441,Ordinari,No presentat,0,0
28,2013,G1055,362444,Ordinari,No presentat,0,0
28,2013,G1055,362446,Ordinari,No presentat,0,0
32,2011,G1055,362441,Ordinari,Notable,7.7,0
32,2011,G1055,362443,Ordinari,Aprovat,5.2,0
32,2011,G1055,362444,Ordinari,Aprovat,5,0
32,2011,G1055,362449,Ordinari,Aprovat,5.6,0
32,2011,G1055,362450,Ordinari,Aprovat,5,0
32,2012,G1055,362442,Ordinari,Suspens,3.5,0
32,2012,G1055,362446,Ordinari,Suspens,3.5,0
32,2012,G1055,362447,Ordinari,Aprovat,5,0
32,2012,G1055,362448,Ordinari,Suspens,3.9,0
32,2012,G1055,362451,Ordinari,Aprovat,6,0
32,2013,G1055,362442,Ordinari,Aprovat,6.5,0
32,2013,G1055,362446,Ordinari,Aprovat,5,0
32,2013,G1055,362448,Ordinari,Aprovat,5,0
32,2013,G1055,362456,Ordinari,Aprovat,5.5,0
32,2014,G1055,362452,Ordinari,Suspens,3.6,0
32,2014,G1055,362453,Ordinari,Aprovat,5,0
32,2014,G1055,362454,Ordinari,Aprovat,6,0
32,2014,G1055,362459,Ordinari,Notable,7,0
32,2014,G1055,362469,Ordinari,Aprovat,5,0
34,2012,G1055,362442,Ordinari,Notable,7,0
34,2012,G1055,362444,Ordinari,Matrícula d'Honor,10,0
34,2012,G1055,362447,Ordinari,Matrícula d'Honor,9,0
34,2012,G1055,362449,Ordinari,Matrícula d'Honor,9.3,0
34,2012,G1055,362451,Ordinari,Excel·lent,9,0
34,2013,G1055,362441,Reconeixement d'estudis previs,,0,0
34,2013,G1055,362443,Reconeixement d'estudis previs,Notable,8,0
34,2013,G1055,362446,Ordinari,Notable,7,0
34,2013,G1055,362448,Ordinari,Excel·lent,9,0
34,2013,G1055,362450,Ordinari,Aprovat,6.5,0
34,2013,G1055,362452,Ordinari,Notable,7.5,0
34,2013,G1055,362456,Ordinari,Notable,7.5,0
34,2013,G1055,362458,Ordinari,Excel·lent,9,0
34,2013,G1055,362459,Reconeixement d'estudis previs,Aprovat,6,0
34,2013,G1055,362465,Reconeixement d'estudis previs,Aprovat,6,0
34,2013,G1055,362471,Reconeixement d'estudis previs,Aprovat,6,0
34,2014,G1055,362453,Ordinari,Matrícula d'Honor,9.3,0
34,2014,G1055,362454,Ordinari,Aprovat,5.4,0
34,2014,G1055,362461,Ordinari,Excel·lent,9.5,0
34,2014,G1055,362469,Ordinari,Notable,8,0
34,2014,G1055,399004,Reconeixement de crèdits,,0,0
35,2010,G1055,362441,Reconeixement d'estudis previs,,0,0
35,2010,G1055,362442,Ordinari,Suspens,1.1,0
35,2010,G1055,362443,Reconeixement d'estudis previs,Notable,8,0
35,2010,G1055,362444,Reconeixement d'estudis previs,Notable,8,0
35,2010,G1055,362446,Ordinari,No presentat,0,0
35,2010,G1055,362447,Ordinari,No presentat,0,2.8
35,2010,G1055,362448,Ordinari,Suspens,3.5,5
35,2010,G1055,362449,Ordinari,Aprovat,5.9,0
35,2010,G1055,362450,Ordinari,Excel·lent,9,0
